Style Id,Size,Qty,Parent ASIN,SKU,Create FBA listing,Barcode,Lengt,Width,Depth,Column1,Column2
K182103HK,6/6x,60,B0126JMVLI,K182103HK-S,Y,000716394639,12,8,2.5,0126JMVLI0126JMVLI618210363971026,
K182103HK,7/8,60,B0126JMVLI,K182103HK-M,Y,000716394646,10.5,8,2.5,0126JMVLI0126JMVLI618210363971026,
K182104HK,10/12,40,B0164G0C9W,K182104HK-3-L,Y,886160205123,11,7.5,2.5,9W9W018210402016064,
K182104HK,4/5,30,B0164G0C9W,K182104HK-3-XS,Y,886160205093,8,8,2.376,9W9W018210402016064,
K182104HK,6/6x,,B0164G0C9W,K182104HK-3-S,Y,886160205109,10,7.5,2.25,9W9W018210402016064,
K182104HK,7/8,70,B0164G0C9W,K182104HK-3-M,Y,886160205116,11,8,2.25,9W9W018210402016064,
K182834PP,2T,72,B01NCAH5SP,K182834PP-2T,Y,000716473068,10.5,9,1,5SP5SP6182834647713,
K182834PP,3T,72,B01NCAH5SP,K182834PP-3T,Y,000716473075,10.5,9,1,5SP5SP6182834647713,
K182834PP,4T,72,B01NCAH5SP,K182834PP-4T,Y,000716473082,10.5,9,1,5SP5SP6182834647713,
M004,2T,30,B01N76V0QC,M004-2T,Y,769748607475,8.5,6.5,0.375,difference Real barcode 889799224213,
M004,3T,30,B01N76V0QC,M004-3T,Y,769748607482,8.5,6.5,0.375,difference Real barcode 889799224220,
M004,4T,30,B01N76V0QC,M004-4T,Y,769748607499,8.5,6.5,0.375,difference Real barcode 889799224237,
MK197,2T,20,B01IAH4A8W,MK197-2T,Y,889799179360,9.5,8,1.5,,
MK197,3T,30,B01IAH4A8W,MK197-3T,Y,889799179377,10.5,8,1.62,,
MK197,4T,30,B01IAH4A8W,MK197-4T,Y,889799179384,10,8,1.62,,
MU015,2T,60,B01EZ05348,MU015-2T,Y,889799219301,7,5.5,1.5,,
MU015,3T,90,B01EZ05348,MU015-3T,Y,889799219318,8,5.5,2,,
MU015,4T,90,B01EZ05348,MU015-4T,Y,889799219325,7.5,5.5,2,,
TD021,10,20,B01BA2S620,TD021-10,Y,889799082141,10.5,8,0.75,889799087832,
TD021,4,10,B01BA2S620,TD021-4,Y,889799082158,10.5,8,0.375,889799087801,
TD021,6,30,B01BA2S620,TD021-6,Y,889799082165,10.5,8,0.375,889799087818,
TD021,8,30,B01BA2S620,TD021-8,Y,889799082172,10.5,8,0.625,889799087825,
TD046,10,90,B01IADM948,TD046-10,Y,889799199030,10.5,8,0.5,,
TD046,12,90,B01IADM948,TD046-12,Y,889799200316,10.5,8,0.5,,
TD046,6,40,B01IADM948,TD046-6,Y,889799199054,10.5,8,0.5,,
TD046,8,60,B01IADM948,TD046-8,Y,889799199061,10.5,8,0.5,,
ZF037,4,50,B00MA8ZT2E,ZF037,Y,030915989169,9.5,7.5,0.75,88979904100,
ZF037,6,100,B00MA8ZT2E,ZF037-6,Y,030915989176,9.5,7.5,0.75,889799041018,
ZF037,8,30,B00MA8ZT2E,ZF037-8,Y,030915989183,11,8,0.875,889799041025,
25T3901TH,2T,15, B018HN9M4Q,,N,024054359181,7.5,7.5,0.25,wasn t on this list,
25T3901TH,3T,20, B018HN9M4Q,,N,024054359198,7.5,7.5,0.25,wasn t on this list,
25T3901TH,4T,20, B018HN9M4Q,,N,024054359204,7.5,7.5,0.25,wasn t on this list,
