Product,Package,Weight,A,B,C,D,E,F,G,MJ,MK,I,L,M,N,P,N
P,Commodities,39 lb,76.85,94.19,115.88,140.4,298.86,111.42,143.46,116.52,164.26,301.19,199.28,364.06,66.08,76.2,157.38
P,Commodities,40 lb,78.22,95.49,118.01,142.81,304.58,113.6,146.33,118.8,167.41,306.67,203.27,371.28,67.21,77.53,160.51
P,Commodities,41 lb,79.61,96.81,120.13,145.2,310.28,115.79,149.2,121.07,170.57,312.16,207.28,378.49,68.36,78.86,163.66
P,Commodities,42 lb,81,98.13,122.25,147.61,316.01,117.97,152.06,123.35,173.72,317.66,211.27,385.72,69.52,80.19,166.79
P,Commodities,43 lb,82.4,99.44,124.37,150.02,321.72,120.16,154.93,125.64,176.87,323.15,215.28,392.92,70.66,81.49,169.92
P,Commodities,44 lb,83.79,100.75,126.49,152.42,327.44,122.34,157.8,127.92,180.03,328.65,219.27,400.13,71.8,82.82,173.05
P,Commodities,45 lb,85.16,102.07,128.62,154.84,333.14,124.53,160.67,130.2,183.18,334.14,223.26,407.34,72.95,84.15,176.18
P,Commodities,46 lb,86.55,103.39,130.74,157.25,338.87,126.71,163.54,132.48,186.34,339.64,227.27,414.54,74.09,85.47,179.32
P,Commodities,47 lb,87.94,104.69,132.86,159.65,344.59,128.9,166.4,134.76,189.49,345.13,231.26,421.76,75.24,86.79,182.45
P,Commodities,48 lb,89.33,106.01,134.98,162.05,350.29,131.09,169.27,137.05,192.64,350.62,235.27,428.98,76.39,88.12,185.58
P,Commodities,49 lb,90.72,107.33,137.11,164.46,356.02,133.27,172.14,139.33,195.8,356.12,239.26,436.19,77.53,89.45,188.72
P,Commodities,50 lb,92.09,108.64,139.23,166.86,361.73,135.46,175.01,141.61,198.95,361.61,243.25,443.39,78.67,90.76,191.85
P,Commodities,51 lb,92.96,109.74,141.36,169.54,367.05,137.57,177.89,144.44,201.51,368.22,247.06,449.51,80.31,92.64,194.87
P,Commodities,52 lb,93.81,110.86,143.49,172.22,372.39,139.68,180.77,147.25,204.07,374.84,250.87,455.6,81.92,94.49,197.89
P,Commodities,53 lb,94.66,111.96,145.62,174.91,377.72,141.79,183.66,150.07,206.62,381.44,254.68,461.69,83.53,96.36,200.91
P,Commodities,54 lb,95.51,113.07,147.75,177.58,383.05,143.9,186.54,152.87,209.18,388.05,258.49,467.81,85.16,98.25,203.93
P,Commodities,55 lb,96.36,114.18,149.88,180.27,388.38,146.01,189.42,155.69,211.73,394.64,262.31,473.91,86.78,100.11,206.95
P,Commodities,56 lb,97.21,115.28,152.01,182.94,393.72,148.12,192.31,158.52,214.29,401.25,266.12,480,88.39,101.98,209.96
P,Commodities,57 lb,98.06,116.39,154.14,185.62,399.04,150.23,195.19,161.33,216.84,407.86,269.93,486.12,90.02,103.85,212.99
P,Commodities,58 lb,98.92,117.49,156.27,188.29,404.36,152.35,198.07,164.15,219.4,414.46,273.74,492.21,91.64,105.72,216.01
P,Commodities,59 lb,99.76,118.6,158.41,190.99,409.71,154.45,200.96,166.98,221.95,421.07,277.54,498.32,93.25,107.59,219.04
P,Commodities,60 lb,100.61,119.72,160.54,193.66,415.02,156.56,203.84,169.79,224.51,427.68,281.35,504.41,94.87,109.46,222.06
P,Commodities,61 lb,101.46,120.8,162.67,196.34,420.36,158.68,206.72,172.61,227.07,434.28,285.16,510.52,96.49,111.32,225.08
P,Commodities,62 lb,102.32,121.92,164.8,199.01,425.69,160.79,209.61,175.44,229.62,440.89,288.98,516.62,98.12,113.2,228.09
P,Commodities,63 lb,103.16,123.02,166.93,201.71,431.01,162.9,212.49,178.25,232.18,447.51,292.79,522.72,99.73,115.07,231.12
P,Commodities,64 lb,104.01,124.13,169.06,204.38,436.35,165.01,215.37,181.07,234.73,454.11,296.6,528.81,101.35,116.93,234.14
P,Commodities,65 lb,104.86,125.24,171.19,207.06,441.67,167.12,218.26,183.89,237.29,460.72,300.41,534.93,102.98,118.8,237.16
P,Commodities,66 lb,105.72,126.34,173.32,209.73,447.01,169.23,221.14,186.71,239.85,467.33,304.22,541.02,104.59,120.68,240.19
P,Commodities,67 lb,106.56,127.45,175.45,212.4,452.34,171.34,224.03,189.53,242.4,473.93,308.02,547.12,106.22,122.54,243.2
P,Commodities,68 lb,107.41,128.55,177.58,215.09,457.67,173.45,226.91,192.35,244.96,480.54,311.84,553.24,107.84,124.41,246.21
P,Commodities,69 lb,108.26,129.66,179.71,217.76,463,175.56,229.79,195.16,247.51,487.14,315.65,559.33,109.45,126.27,249.24
P,Commodities,70 lb,109.12,130.78,181.84,220.45,468.34,177.67,232.68,197.99,250.07,493.75,319.46,565.44,111.06,128.15,252.26
P,Commodities,71 lb,109.98,131.82,183.98,223.15,473.79,179.78,235.07,200.44,252.57,498.55,323.26,571.54,112.69,130.02,255.47
P,Commodities,72 lb,110.82,132.87,186.11,225.85,479.24,181.9,237.46,202.88,255.07,503.35,327.06,577.64,114.31,131.88,257.99
P,Commodities,73 lb,111.69,133.93,188.24,228.55,484.69,184.01,239.86,205.34,257.57,508.15,330.87,583.74,115.93,133.75,260.49
P,Commodities,74 lb,112.55,134.98,190.37,231.59,490.15,186.12,242.25,207.79,260.07,512.96,334.68,589.84,117.55,135.64,256.6
P,Commodities,75 lb,113.4,136.02,192.5,233.91,495.6,188.23,244.65,210.24,262.58,517.76,338.49,595.94,119.16,137.49,259.4
P,Commodities,76 lb,114.27,137.07,194.63,236.24,501.06,190.34,247.04,212.68,265.08,522.58,342.31,602.05,120.79,139.36,262.19
P,Commodities,77 lb,115.13,138.13,196.76,228.47,506.52,192.45,249.44,215.13,267.58,527.38,346.12,608.14,122.41,141.24,264.98
P,Commodities,78 lb,116,139.18,198.89,231.05,511.98,194.56,251.83,217.58,270.08,532.18,349.93,614.24,124.04,143.12,267.77
P,Commodities,79 lb,116.85,140.22,201.02,233.64,517.42,196.67,254.23,220.02,272.58,536.98,353.74,620.35,125.65,144.98,270.57
P,Commodities,80 lb,117.71,141.27,203.15,236.21,522.87,198.78,256.62,222.47,275.08,541.78,357.54,626.45,127.26,146.85,273.36
P,Commodities,81 lb,118.58,142.32,205.29,238.79,528.34,200.89,259.02,224.92,277.59,546.59,361.35,632.54,128.89,148.71,276.15
P,Commodities,82 lb,119.42,143.36,207.42,241.36,533.79,203,261.41,227.38,280.09,551.39,365.16,638.66,130.51,150.59,278.94
P,Commodities,83 lb,120.28,144.41,209.55,243.94,539.25,205.11,263.81,229.82,282.59,556.19,368.98,644.75,132.12,152.46,281.73
P,Commodities,84 lb,121.15,145.46,211.68,246.52,544.71,207.22,266.45,232.27,285.09,560.99,372.79,650.86,133.75,154.32,284.53
P,Commodities,85 lb,116.69,146.51,213.81,249.09,550.15,209.34,269.08,234.72,287.59,565.79,376.6,656.96,135.36,156.19,287.32
P,Commodities,86 lb,117.52,147.55,215.94,251.67,555.61,211.45,271.74,237.16,290.09,571.6,380.41,663.06,136.99,158.07,290.11
P,Commodities,87 lb,118.34,148.61,218.07,254.25,561.06,213.56,274.39,239.61,292.59,575.58,384.22,669.16,138.61,159.93,292.9
P,Commodities,88 lb,119.16,149.67,220.2,256.84,566.53,215.67,277.04,242.06,295.1,579.55,388.04,675.26,140.22,161.8,295.7
P,Commodities,89 lb,119.99,150.72,222.33,259.41,571.98,217.78,279.69,244.51,297.6,560.62,391.84,681.36,141.85,163.66,298.49
P,Commodities,90 lb,120.81,151.76,224.46,261.99,577.42,219.89,282.33,246.96,300.1,565.22,395.65,687.47,143.46,165.54,301.28
P,Commodities,91 lb,121.64,152.81,226.6,264.56,582.89,222,284.99,249.41,302.6,569.84,399.46,693.56,145.09,167.41,304.07
P,Commodities,92 lb,122.46,153.86,228.73,267.14,588.34,224.11,287.64,251.86,305.1,574.44,403.27,699.66,146.71,169.28,306.87
P,Commodities,93 lb,123.28,154.91,230.86,269.72,593.8,226.22,290.29,254.31,307.6,579.04,407.08,705.78,148.32,171.14,309.66
P,Commodities,94 lb,124.11,155.96,232.99,272.29,599.25,228.33,292.94,256.75,310.11,583.65,410.89,711.87,149.95,173.02,312.45
P,Commodities,95 lb,124.93,157.01,235.12,274.87,604.71,230.44,295.6,259.2,312.61,588.25,414.71,717.99,151.56,174.89,315.24
P,Commodities,96 lb,125.75,158.06,237.25,277.45,610.16,232.55,298.25,261.64,315.18,592.84,418.49,724.08,153.18,176.75,318.03
P,Commodities,97 lb,126.58,159.11,239.38,280.04,615.61,234.66,300.91,264.08,318.19,597.46,422.31,730.18,154.81,178.62,320.83
P,Commodities,98 lb,127.4,160.15,241.51,282.61,621.06,236.77,303.54,266.55,321.21,602.05,426.12,736.28,156.42,180.51,323.62
P,Commodities,99 lb,128.22,161.2,243.64,285.19,626.53,238.89,306.2,269,324.22,606.65,429.93,742.39,158.04,182.36,326.41
P,Commodities,100 lb,129.05,162.25,245.77,287.76,631.98,241,308.85,271.45,327.24,611.26,433.74,748.48,159.66,184.24,329.2
P,Commodities,101 lb,130.29,163.71,247.98,290.61,637.88,243.14,312.02,274.19,330.59,616.64,438.25,755.2,161.24,186.04,332.51
P,Commodities,102 lb,131.55,165.18,250.2,293.47,643.79,245.29,315.2,276.93,333.94,622.04,442.75,761.91,162.8,187.85,335.82
P,Commodities,103 lb,132.81,166.64,252.41,296.31,649.69,247.43,318.38,279.67,337.31,627.41,447.26,768.61,164.36,189.66,339.13
P,Commodities,104 lb,134.08,168.09,254.62,299.15,655.59,249.58,321.53,282.42,340.66,632.8,451.76,775.32,165.94,191.46,342.43
P,Commodities,105 lb,135.33,169.55,256.83,302.01,661.49,251.72,324.71,285.16,344.01,638.2,456.27,782.04,167.51,193.27,345.74
P,Commodities,106 lb,136.59,171.02,259.04,304.86,667.39,253.87,327.88,287.93,347.38,643.58,460.78,788.74,169.07,195.08,349.05
P,Commodities,107 lb,137.85,172.48,261.25,307.71,673.31,256.01,331.06,290.67,350.73,648.96,465.28,795.44,170.65,196.88,352.35
P,Commodities,108 lb,139.11,173.94,263.47,310.56,679.2,258.16,334.24,293.41,354.08,654.35,469.78,802.16,172.21,198.69,355.66
