"TemplateType=clothing"	"Version=2015.0327"
"SKU"	"Product Name"	"Clothing Type"	"Product ID Type"	"Product ID"	"Update Delete"	"Product Description"	"Style Number"	"Brand Name"	"Manufacturer Part Number"	"Manufacturer"	"Standard Price"	"Sale Price"	"Sale Start Date"	"Sale End Date"	"Restock Date"	"Quantity"	"Product Tax Code"	"Launch Date"	"Is Gift Wrap Available"	"Offering Can Be Gift Messaged"	"Number of Items"	"Product ID Override"	"Offering Release Date"	"Max Aggregate Ship Quantity"	"Manufacturer's Suggested Retail Price"	"Package Quantity"	"Is Discontinued by Manufacturer"	"Fulfillment Latency"	"Currency"	"Website Shipping Weight Unit Of Measure"	"Shipping Weight"	"Item Width"	"Item Weight Unit Of Measure"	"Item Weight"	"Item Length Unit Of Measure"	"Item Length"	"Item Height"	"Recommended Browse Nodes1"	"Recommended Browse Nodes2"	"Recommended Browse Nodes3"	"Search Terms1"	"Search Terms2"	"Search Terms3"	"Search Terms4"	"Search Terms5"	"Key Product Features1"	"Key Product Features2"	"Key Product Features3"	"Key Product Features4"	"Key Product Features5"	"Swatch Image URL"	"Other Image Url1"	"Other Image Url2"	"Other Image Url3"	"Other Image Url4"	"Other Image Url5"	"Other Image Url6"	"Other Image Url7"	"Other Image Url8"	"Main Image URL"	"Package Width"	"Package Weight Unit Of Measure"	"Package Weight"	"Package Length Unit Of Measure"	"Package Length"	"Package Height"	"Fulfillment Center ID"	"Variation Theme"	"Relationship Type"	"Parent SKU"	"Parentage"	"Consumer Notice"	"CPSIA Cautionary Statement1"	"CPSIA Cautionary Statement2"	"CPSIA Cautionary Statement3"	"CPSIA Cautionary Statement4"	"CPSIA Cautionary Description"	"Country of Publication"	"Closure Type"	"Belt Style"	"Bottom Style"	"Button Quantity"	"Color"	"Color Map"	"Control Type"	"Cuff Type"	"Department"	"Fabric Wash"	"Fit Type"	"Front Pleat Type"	"Inseam"	"Inseam Length Unit Of Measure"	"Is Stain Resistant"	"Rise Height"	"Rise Height Unit Of Measure"	"Leg Diameter"	"Leg Diameter Unit Of Measure"	"Leg Style"	"Fabric Type1"	"Fabric Type2"	"Fabric Type3"	"Fur Description"	"Number of Pieces"	"Pattern Style"	"Pocket Description"	"Size"	"Size Map"	"Special Size Type"	"Additional Features"	"Style"	"theme"	"Toe Style"	"WaistSize"	"Waist Size Unit Of Measure"	"Water Resistance Level"	"Is Adult Product"	"character"	"Chest Size"	"Chest Size Unit Of Measure"	"Band Size Numeric"	"Band Size Num Unit Of Measure"	"Collar Type"	"Cup Size"	"Opacity / Transparency"	"Neck Size"	"Neck Size Unit Of Measure"	"NeckStyle"	"Rise Style"	"Shoe Width"	"SleeveLength"	"Sleeve Length Unit Of Measure"	"Sleeve Type"	"Strap Type"	"Top Style"	"Underwire Type"	"laptop-capacity"	"Lens Color"	"Lens Color Map"	"Magnification Strength"	"Frame Material Type"	"Lens Material Type"	"Item Shape"	"Polarization Type"	"Eyewear Unit Of Measure"	"Lens Width"	"Bridge Width"	"Arm Length"	"Lens Height"	"Occasion Lifestyle"	"Sport Type"
"18141820-2T"	"Disney Kids Pajamas, Little Girls Ariel Pajama Set Purple 2T"	"sleepwear"	"asin"	"B0036KVL1S"	"update"	"Little girls can sleep in style with the brand new,c Disney Little Mermaid girls cotton pajama set. The soft, comfy cotton aqua colored pajama set for girls features short sleeves, a brightly colored Little Mermaid design and a cozy fit."		"Disney"			"21.59"					"0"													"cad"									"10287175011"			"pajama"	"girls pajama"	"Toddler pajama"	"pajama size 2T, 3T, 4T"	"pijama pyjama sleepwear PJ"	"100% cotton"	"Machine Wash"	"Short sleeve shirt, long leg"	"Soft cozy fabric"	"By: Disney Sleepwear"																		"size"	"variation"	"B00J7E1C7U"	"child"												"Purple"	"Purple"			"girls"																			"2T"																																												"Outdoor Lifestyle"
"18141820-3T"	"Disney Kids Pajamas, Little Mermaid Girls Ariel Pajama Set Purple 2T-4T (3T)"	"sleepwear"	"asin"	"B0036KXN82"	"update"	"Little girls can sleep in style with the brand new,c Disney Little Mermaid girls cotton pajama set. The soft, comfy cotton aqua colored pajama set for girls features short sleeves, a brightly colored Little Mermaid design and a cozy fit."		"Disney"			"20.91"					"15"													"cad"									"10287175011"			"pajama"	"girls pajama"	"Toddler pajama"	"pajama size 2T, 3T, 4T"	"pijama pyjama sleepwear PJ"	"100% cotton"	"Machine Wash"	"Short sleeve shirt, long leg"	"Soft cozy fabric"	"By: Disney Sleepwear"																		"size"	"variation"	"B00J7E1C7U"	"child"												"Purple"	"Purple"			"baby-girls"																			"3T"																																												
"18418202-2T"	"Disney Fairies Little Girls' Pj Set,Blue,2T"	"sleepwear"	"asin"	"B00387FF6G"	"update"		"18418202-Blue-2T"	"Disney"			"20.24"					"3"													"cad"	"lb"	"0.25"							"10287175011"			"pajamas"					"100% Cotton"	"0"	"Machine wash, tumble dry."	"Made In China"																			"size-color"	"variation"	"B00387FF98"	"child"												"Blue"	"Blue"			"girls"												"Cotton"							"2T"																																											"casual"	"Outdoor Lifestyle"
"18418202-3T"	"Disney Fairies Little Girls' Pj Set,Blue,3T"	"sleepwear"	"asin"	"B00387FF7A"	"update"		"18418202-Blue-3T"	"Disney"			"20.24"					"7"													"cad"	"lb"	"0.25"							"10287175011"			"pajamas"					"100% Cotton"	"0"	"Machine wash, tumble dry."	"Made In China"																			"size-color"	"variation"	"B00387FF98"	"child"												"Blue"	"Blue"			"girls"												"Cotton"							"3T"																																											"casual"	"Outdoor Lifestyle"
"18418202-4T"	"Disney Fairies Little Girls' Pj Set,Blue,4T"	"sleepwear"	"asin"	"B00387FF84"	"update"		"18418202-Blue-4T"	"Disney"			"20.24"					"5"													"cad"	"lb"	"0.30"							"10287175011"			"pajamas"					"100% Cotton"	"0"	"Machine wash, tumble dry."	"Made In China"																			"size-color"	"variation"	"B00387FF98"	"child"												"Blue"	"Blue"			"girls"												"Cotton"							"4T"																																											"casual"	
"1H-96RH-NXWR"	"Sofia the First Little Girls' 2 Piece Fleece Pajama Set, Multi, 2T"	"sleepwear"	"asin"	"B00DMXMX2A"	"update"			"Disney"			"20.24"					"0"													"cad"	"lb"	"1.00"							"10287175011"			"girls clothes"	"girls clothing"	"clothes"	"ropa de niña"	"clothing"	"Cozy, soft, warm fleece"	"Flame resistant"																					"size-color"	"variation"	"B00DMXMUKK"	"child"												"Multi"	"Multi"			"girls"												"100% Polyester"							"2T"																																												
"1V-1LDX-UE03"	"Disney Boy's Finding Nemo 3-Piece Pajama Set, Toddler Size 4T"	"sleepwear"	"asin"	"B009ENJ7IA"	"update"	"Beautiful 3 piece pajama featuring Nemo and Squirt. Perfect all year round including colorful shirt, both shorts and long pants."		"AME Sleepwear"			"33.74"					"0"													"cad"	"lb"	"0.50"							"10287070011"			"Nemo pajama"	"Boys toddler pajama"	"pajama"	"pajama 2T, 3T, 4T"	"sleepwear, PJ"	"6 Piece pajama, short sleeve, long leg, shorts"	"By: Disney Sleepwear"	"Flame resistant garment"	"Machine Washable; Easy Care"	"Soft & comfortable"																		"size"	"variation"	"B00KMLBTB6"	"child"												"Blue"	"Blue"			"boys"																			"4T"																																												
"1Z-SQT7-DZS6"	"DC Comics Batman Short Sleeve Pajama With Cape for boys (6)"	"sleepwear"	"asin"	"B00HZTDSPI"	"update"	"Any young Batman fan will be ready to spring into action in these flame resistant short sleeve pajamas for boys featuring Batman's Classic Bat logo. The set comes with a blue, velcro detachable Bat logo Cape and black bottoms."		"WebUndies.com"			"26.99"					"0"						"privatelabel"							"cad"	"lb"	"0.55"							"10287070011"			"boys"	"pajamas"	"cape"	"toddler"		"100% Polyester"																						"size"	"variation"	"B00HZTDMX6"	"child"												"Black"	"Black"			"boys"												"100% Polyester"							"6"	"Small"																																											
"21A2027BSSZA_10"	"Marvel Avengers Assemble 2-Piece Pajama Set Boys, size 10"	"sleepwear"	"asin"	"B00K5I0ELM"	"update"	"Avengers 2 piece Pajama set featuring collection of comic book book heroes"		"Marvel"			"25.64"					"0"													"cad"									"10287070011"																														"size"	"variation"	"B00K5I0C9Q"	"child"												"Red"	"Red"			"boys"																			"10"	"Large"																																											
"21A2027BSSZA_4"	"Marvel Avengers Assemble 2-Piece Pajama Set Boys, size 4"	"sleepwear"	"asin"	"B00K5I0CUU"	"update"	"Avengers 2 piece Pajama set featuring collection of comic book book heroes"		"Marvel"			"22.94"					"0"													"cad"									"10287070011"																														"size"	"variation"	"B00K5I0C9Q"	"child"												"Red"	"Red"			"boys"																			"4"																																												
