"Image","Item Name","SKU","Status","Status Change Reason","Price","Shipping","Price Total","Buy Box","Buy Box Price","Buy Box Shipping","Buy Box Total","Category","Units","Average Rating","Number of Reviews","Item ID","Number of Listings","Item Page Link"
"https://i5.walmartimages.com/asr/28321075-90b5-4641-b080-808286d8e0b1_1.29aa643993ea826bd3b1aa1a6a6968f6.jpeg","Star Wars Boys Robe Bathrobe ""Vader"" Pajamas","21ST098BRDTG-2-XS","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",29.99,4.49,34.48,"",,,"","Clothing",7,0,0,"194994016","0","http://www.walmart.com/ip/Star-Wars-Boys-Robe-Bathrobe-Vader-Pajamas/194994016"
"https://i5.walmartimages.com/asr/58a9ee74-bdb3-4cc4-970b-7364a021313e_1.240ac72d8d041289926330f5090c4a54.jpeg","Spider-Man Little Boys' Toddler ""Swing High"" 2-Piece Pajamas (Sizes 2T - 4T)","US213-2T","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",14.99,4.49,19.48,"Buy Box Lost",10.99,0,10.99,"Clothing",11,0,0,"121933099","1","http://www.walmart.com/ip/Spider-Man-Little-Boys-Toddler-Swing-High-2-Piece-Pajamas-Sizes-2T-4T/121933099"
"https://i5.walmartimages.com/asr/dbdf5093-a1c6-4ea1-8cfa-827e5636bcbf_1.b2835775bc31e8c45cc9df90b68f7776.jpeg","Komar Kids Big Boys' Angry Birds Micro Fleece Blanket Sleeper","K182136AB-S","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",19.99,4.49,24.479999999999997,"",,,"","Clothing",16,0,0,"102973542","0","http://www.walmart.com/ip/Komar-Kids-Big-Boys-Angry-Birds-Micro-Fleece-Blanket-Sleeper/102973542"
"https://i5.walmartimages.com/asr/fbac063c-24eb-4b89-baff-8b3a7a32cc3b_1.85804ad812d7a63da31f2af34b2ea9c4.jpeg","Komar Kids Boys Blue Camo Bathrobe Size XS/4-5","K171312-XS","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",14.99,4.49,19.48,"Buy Box Lost",9.99,0,9.99,"Clothing",40,0,0,"634935404","1","http://www.walmart.com/ip/Komar-Kids-Boys-Blue-Camo-Bathrobe-Size-XS-4-5/634935404"
"https://i5.walmartimages.com/asr/d6d3c695-3ce3-4f50-b066-66119ffb89cc_1.b5e36e06dc3a7b07f923481bd6deda47.jpeg","Disney Frozen Boys Olaf 4 Piece Cotton Pajama Set with Flashlight, Sizes 4-10","21FZ061B-8","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",24.99,4.49,29.479999999999997,"",,,"","Clothing",0,0,0,"167790764","0","http://www.walmart.com/ip/Disney-Frozen-Big-Boys-Olaf-4-Piece-Cotton-Pajama-Set-with-Flashlight/167790764"
"https://i5.walmartimages.com/asr/f384eb0e-c548-44cb-b2d6-2160fac36fa2_1.63f3f536ae9e0d8f111a45f9181198a3.jpeg","Disney Frozen Little Girls' Toddler ""Loving Sisters"" Nightgown","FZ252-4T","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",14.99,4.49,19.48,"",,,"","Clothing",0,0,0,"187740249","0","http://www.walmart.com/ip/Disney-Frozen-Little-Girls-Toddler-Loving-Sisters-Nightgown/187740249"
"https://i5.walmartimages.com/asr/58a9ee74-bdb3-4cc4-970b-7364a021313e_1.240ac72d8d041289926330f5090c4a54.jpeg","Spider-Man Little Boys' Toddler ""Swing High"" 2-Piece Pajamas (Sizes 2T - 4T)","US213-4T","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",14.99,4.49,19.48,"Buy Box Lost",14.99,0,14.99,"Clothing",40,0,0,"117146314","1","http://www.walmart.com/ip/Spider-Man-Little-Boys-Toddler-Swing-High-2-Piece-Pajamas-Sizes-2T-4T/117146314"
"https://i5.walmartimages.com/asr/54af6c34-7f6e-4ec6-bee2-6133d056bb78_1.fe2c2a58c8cb5d502a09b28306277865.jpeg","Disney Princess Little Girls 4-Piece Cotton Pajama Set, Infant/Toddler Sizes 12M-4T","K166362PN-2-4T","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",22.99,4.49,27.479999999999997,"",,,"","Clothing",0,0,0,"141186659","0","http://www.walmart.com/ip/Disney-Princess-Little-Girls-4-Piece-Cotton-Pajama-Set-Infant-Toddler-Sizes-12M-4T/141186659"
"https://i5.walmartimages.com/asr/9f32032e-a4a4-437f-82bf-24527e53b8f4_1.f5aaea243cf44384d4812a6c75a8850a.jpeg","Batman v Superman Little Boys' ""Dual Shield"" 2-Piece Pajamas (Sizes 4 - 7)","DJ026-6","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",14.99,4.49,19.48,"Buy Box Lost",16.99,0,16.99,"Clothing",11,0,0,"177552428","1","http://www.walmart.com/ip/Batman-v-Superman-Little-Boys-Dual-Shield-2-Piece-Pajamas-Sizes-4-7/177552428"
"https://i5.walmartimages.com/asr/6b10296f-810b-4800-9064-7945ffc4b47a_1.ddeaf7d005cd7b600143df1effe10a16.jpeg","Komar Kids Big Girls' Hello Kitty Hooded Fleece Robe","K182103HK-L","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",24.99,4.49,29.479999999999997,"",,,"","Clothing",0,5,1,"46515135","0","http://www.walmart.com/ip/Girls-Hello-Kitty-Hooded-Robe/46515135"
