WM Price,Amz Price,dif,Price,Change Pr,WM ItemId,SKU,Style Id,Size,comments
24.99,21.99,$3.00,,N,154070686,21LM016GGSZA-4-8,21LM016GGSZA,8,we don't have it
24.99,21.99,$3.00,,N,114912354,21LM016GGSZA-8,21LM016GGSZA,8,we don't have it
19.99,16.99,$3.00,,N,104645172,21PT033GGSZA-8,21PT033GGSZA,8,
22.99,19.99,$3.00,,N,181256331,21ST079BBFTG-10,21ST079BBFTG,10,we don't have it
22.99,19.99,$3.00,14.99,Y,127087748,21TD007GLLDZ-3-4,21TD007GLLDZ,4,
12.99,9.99,$3.00,9.99,Y,154538229,K157577PN-2T,K157577PN,2T,
19.99,16.99,$3.00,14.99,Y,46513915,K157900BB-M,K157900BB,7/8,
22.99,19.99,$3.00,,N,141186659,K166362PN-2-4T,K166362PN,4T,we don't have it
12.99,9.99,$3.00,9.99,Y,127656087,S5050ES-2T,S5050ES,2T,
39.99,36.99,$3.00,36.99,Y,NULL,SO021-M,SO021,7/8,
39.99,36.99,$3.00,36.99,Y,NULL,SO021-S,SO021,6/6x,
17.99,14.99,$3.00,14.99,Y,125520365,GD012-2-2T,GD012,2T,
17.99,14.99,$3.00,14.99,Y,123414118,GD012-2-3T,GD012,3T,
17.99,14.99,$3.00,14.99,Y,164096506,GD012-2-4T,GD012,4T,
22.97,19.99,$2.98,19.99,Y,157865973,21ST079BBFTG-1-4,21ST079BBFTG,4,
22.49,19.99,$2.50,19.99,Y,107142032,21DM206BLLDZ-1-8,21DM206BLLDZ,8,
24.99,22.49,$2.50,,N,161103401,21TD007GLLDZ-3-6,21TD007GLLDZ,6,we don't have it
18.99,16.49,$2.50,16.49,Y,107600053,FZ395-2T,FZ395,2T,
18.99,16.49,$2.50,16.49,Y,138111241,FZ395-3T,FZ395,3T,
16.99,14.49,$2.50,14.49,Y,148103426,21DM199BCLDZ-1-8,21DM199BCLDZ,8,
24.99,22.99,$2.00,22.99,Y,136144916,21AX019BLLDZ-4,21AX019BLLDZ,4,
24.99,22.99,$2.00,22.99,Y,119461773,21AX019BLLDZ-6,21AX019BLLDZ,6,
24.99,22.99,$2.00,22.99,Y,171231677,21DP134GGSDZ-4,21DP134GGSDZ,4,
24.99,22.99,$2.00,22.99,Y,167197366,21FZ039GDSZA-6,21FZ039GDSZA,6,
18.99,16.99,$2.00,16.99,Y,146807863,21HK118-2-10,21HK118,10,
18.99,16.99,$2.00,16.99,Y,184372145,21HK118-2-8,21HK118,8,
24.99,22.99,$2.00,22.99,Y,125438723,21LM016GGSZA-3T,21LM016GGSZA,3T,
24.99,22.99,$2.00,22.99,Y,130544917,21LM016GGSZA-4T,21LM016GGSZA,4T,
18.99,16.99,$2.00,16.99,Y,46193786,21LM027GZRDZ-1-8,21LM027GZRDZ,8,
18.99,16.99,$2.00,16.99,Y,134401447,21PN045ELLZA-2-3T,21PN045ELLZA,3T,
18.99,16.99,$2.00,16.99,Y,170256783,21PN045ELLZA-2-4T,21PN045ELLZA,4T,
26.99,24.99,$2.00,24.99,Y,100732482,21ST107ELLZA-4T,21ST107ELLZA,4T,
18.99,16.99,$2.00,16.99,Y,117783821,21TE058ELLDZ-2T,21TE058ELLDZ,2T,
18.99,16.99,$2.00,16.99,Y,131413738,21TE058ELLDZ-4T,21TE058ELLDZ,4T,
19.99,17.99,$2.00,17.99,Y,191539025,21TS001BSLDZ-4-10,21TS001BSLDZ,10,
14.99,12.99,$2.00,12.99,Y,117975840,F16GT01CG-2T,F16GT01CG,2T,
14.99,12.99,$2.00,12.99,Y,153355319,F16GT01CG-3T,F16GT01CG,3T,
14.99,12.99,$2.00,12.99,Y,199334843,F16GT01CG-4T,F16GT01CG,4T,
19.99,17.99,$2.00,17.99,Y,189917866,K166563BM-2-4,k157462BM,4,
19.99,17.99,$2.00,17.99,Y,141622186,K166563BM-2-6,k157462BM,6,
14.99,12.99,$2.00,12.99,Y,166808047,K157533PN-2T,K157533PN,2T,
14.99,12.99,$2.00,12.99,Y,157638202,K157533PN-3T,K157533PN,3T,
14.99,12.99,$2.00,12.99,Y,150210648,K157533PN-4T,K157533PN,4T,
14.99,12.99,$2.00,12.99,Y,NULL,K157825JL-M,K157825JL,8,
14.99,12.99,$2.00,12.99,Y,NULL,K157825JL-S,K157825JL,6/7,
19.99,17.99,$2.00,17.99,Y,46513962,K157955BB-XS,K157955BB,4/5,
24.99,22.99,$2.00,22.99,Y,159041879,K173365FN-2-S-6,K173365FN,6/6x,
18.99,16.99,$2.00,16.99,Y,137155858,LM053-3-2T,LM053,2T,
14.99,12.99,$2.00,12.99,Y,119798474,S4PBA47SU-2-4/5,S4PBA47SU,4/5,
14.99,12.99,$2.00,12.99,Y,119198070,S4PBA47SU-2-6/7,S4PBA47SU,6/7,
14.99,12.99,$2.00,12.99,Y,193041140,S4PBA47SU-2-8,S4PBA47SU,8,
11.99,9.99,$2.00,9.99,Y,165073339,WN182-2-2T,WN182,2T,
16.99,14.99,$2.00,14.99,Y,177719241,21BM021BLLZA-3-10,21BM021BLLZA,10,
16.99,14.99,$2.00,14.99,Y,100755941,21BM021BLLZA-3-4,21BM021BLLZA,4,
16.99,14.99,$2.00,14.99,Y,142577575,21BM021BLLZA-3-8,21BM021BLLZA,8,
16.99,14.99,$2.00,14.99,Y,148392300,21DM199BCLDZ-1-4,21DM199BCLDZ,4,
16.99,14.99,$2.00,14.99,Y,157178997,21DM199BCLDZ-4,21DM199BCLDZ,4,
16.99,14.99,$2.00,14.99,Y,160378183,21DM199BCLDZ-6,21DM199BCLDZ,6,
16.49,14.49,$2.00,14.49,Y,127219570,21DM199BCLDZ-8,21DM199BCLDZ,8,
16.99,14.99,$2.00,14.99,Y,NULL,21DM213BLLDZ-1-4,21DM213BLLDZ,8,
16.99,14.99,$2.00,14.99,Y,115522421,21DM213BLLDZ-1-4,21DM213BLLDZ,4,
16.99,14.99,$2.00,14.99,Y,138543592,21FZ025TLLZA-2-3T,21FZ025TLLZA,3T,
16.99,14.99,$2.00,14.99,Y,153105542,21ST056BLLDZ-1-4,21ST056BLLDZ,4,
16.99,14.99,$2.00,14.99,Y,199052781,CI026GLLDZ-4,CI026GLLDZ,4,
16.99,14.99,$2.00,14.99,Y,103031831,CI026GLLDZ-6,CI026GLLDZ,6,
16.99,14.99,$2.00,14.99,Y,175968020,CI026GLLDZ-8,CI026GLLDZ,8,
16.99,14.99,$2.00,14.99,Y,146768097,F15B54BM-1-M,F15B54BM,8,
16.99,14.99,$2.00,14.99,Y,116771215,F15B54BM-1-S,F15B54BM,6/7,
